Eclipse timings	&	Error	&	E	&	O-C	&	Reference
2458964.19107 	&	0.00016 	&	689.5	&	-0.00026940 	&	(12)
2458964.35573 	&	0.00011 	&	690	&	0.00098800 	&	(12)
2458964.51748 	&	0.00016 	&	690.5	&	-0.00066459 	&	(12)
2458964.68237 	&	0.00011 	&	691	&	0.00082281 	&	(12)
2458964.84477 	&	0.00014 	&	691.5	&	-0.00017978 	&	(12)
2458965.00867 	&	0.00012 	&	692	&	0.00031762 	&	(12)
2458965.17139 	&	0.00013 	&	692.5	&	-0.00036498 	&	(12)
2458965.33630 	&	0.00015 	&	693	&	0.00114243 	&	(12)
2458965.49786 	&	0.00014 	&	693.5	&	-0.00070017 	&	(12)
2458965.66283 	&	0.00014 	&	694	&	0.00086724 	&	(12)
2458965.82524 	&	0.00014 	&	694.5	&	-0.00012536 	&	(12)
2458965.98937 	&	0.00015 	&	695	&	0.00060205 	&	(12)
2458966.15167 	&	0.00014 	&	695.5	&	-0.00050055 	&	(12)
2458966.31628 	&	0.00012 	&	696	&	0.00070686 	&	(12)
2458966.47837 	&	0.00013 	&	696.5	&	-0.00060574 	&	(12)
2458966.64321 	&	0.00016 	&	697	&	0.00083166 	&	(12)
2458966.80504 	&	0.00015 	&	697.5	&	-0.00074093 	&	(12)
2458966.97011 	&	0.00013 	&	698	&	0.00092647 	&	(12)
2458967.13201 	&	0.00013 	&	698.5	&	-0.00057612 	&	(12)
2458967.29693 	&	0.00013 	&	699	&	0.00094128 	&	(12)
2458967.45847 	&	0.00015 	&	699.5	&	-0.00092131 	&	(12)
2458967.62344 	&	0.00013 	&	700	&	0.00064609 	&	(12)
2458967.78548 	&	0.00014 	&	700.5	&	-0.00071651 	&	(12)
2458967.95059 	&	0.00009 	&	701	&	0.00099090 	&	(12)
2458968.11233 	&	0.00011 	&	701.5	&	-0.00067170 	&	(12)
2458968.27709 	&	0.00014 	&	702	&	0.00068571 	&	(12)
2458969.41940 	&	0.00010 	&	705.5	&	-0.00082246 	&	(12)
2458969.58447 	&	0.00010 	&	706	&	0.00084494 	&	(12)
2458969.74621 	&	0.00011 	&	706.5	&	-0.00081765 	&	(12)
2458969.91137 	&	0.00011 	&	707	&	0.00093975 	&	(12)
2458970.07300 	&	0.00011 	&	707.5	&	-0.00083284 	&	(12)
2458970.23791 	&	0.00011 	&	708	&	0.00067456 	&	(12)
2458970.39974 	&	0.00010 	&	708.5	&	-0.00089804 	&	(12)
2458970.56495 	&	0.00011 	&	709	&	0.00090937 	&	(12)
2458970.72655 	&	0.00012 	&	709.5	&	-0.00089323 	&	(12)
2458970.89145 	&	0.00012 	&	710	&	0.00060418 	&	(12)
2458971.05307 	&	0.00013 	&	710.5	&	-0.00117842 	&	(12)
2458971.21828 	&	0.00014 	&	711	&	0.00062899 	&	(12)
2458971.38017 	&	0.00015 	&	711.5	&	-0.00088361 	&	(12)
2458971.54545 	&	0.00011 	&	712	&	0.00099379 	&	(12)
2458971.70705 	&	0.00012 	&	712.5	&	-0.00080880 	&	(12)
2458971.87212 	&	0.00012 	&	713	&	0.00085860 	&	(12)
2458972.03372 	&	0.00013 	&	713.5	&	-0.00094399 	&	(12)
2458972.19882 	&	0.00013 	&	714	&	0.00075341 	&	(12)
2458972.36057 	&	0.00011 	&	714.5	&	-0.00089918 	&	(12)
2458972.52559 	&	0.00011 	&	715	&	0.00071822 	&	(12)
2458972.68750 	&	0.00014 	&	715.5	&	-0.00077438 	&	(12)
2458972.85245 	&	0.00014 	&	716	&	0.00077303 	&	(12)
2458973.01403 	&	0.00014 	&	716.5	&	-0.00104957 	&	(12)
2458973.17926 	&	0.00012 	&	717	&	0.00077784 	&	(12)
2458973.34102 	&	0.00012 	&	717.5	&	-0.00086476 	&	(12)
2458973.50624 	&	0.00013 	&	718	&	0.00095265 	&	(12)
2458973.66774 	&	0.00012 	&	718.5	&	-0.00094995 	&	(12)
2458973.83288 	&	0.00013 	&	719	&	0.00078746 	&	(12)
2458973.99455 	&	0.00014 	&	719.5	&	-0.00094514 	&	(12)
2458974.15972 	&	0.00010 	&	720	&	0.00082226 	&	(12)
2458974.32108 	&	0.00014 	&	720.5	&	-0.00122033 	&	(12)
2458974.48660 	&	0.00012 	&	721	&	0.00089707 	&	(12)
2458974.64837 	&	0.00012 	&	721.5	&	-0.00073552 	&	(12)
2458974.81345 	&	0.00010 	&	722	&	0.00094188 	&	(12)
2458974.97492 	&	0.00012 	&	722.5	&	-0.00099071 	&	(12)
2458975.13985 	&	0.00013 	&	723	&	0.00053669 	&	(12)
2458975.30172 	&	0.00010 	&	723.5	&	-0.00099591 	&	(12)
2458975.46678 	&	0.00013 	&	724	&	0.00066150 	&	(12)
2458975.62878 	&	0.00014 	&	724.5	&	-0.00074110 	&	(12)
2458975.79367 	&	0.00009 	&	725	&	0.00074631 	&	(12)
2458975.95518 	&	0.00010 	&	725.5	&	-0.00114629 	&	(12)
2458976.12056 	&	0.00011 	&	726	&	0.00083112 	&	(12)
2458976.28212 	&	0.00013 	&	726.5	&	-0.00101148 	&	(12)
2458976.44739 	&	0.00008 	&	727	&	0.00085592 	&	(12)
2458976.60904 	&	0.00011 	&	727.5	&	-0.00089667 	&	(12)
2458976.77424 	&	0.00012 	&	728	&	0.00090073 	&	(12)
2458976.93556 	&	0.00012 	&	728.5	&	-0.00118186 	&	(12)
2458977.10088 	&	0.00011 	&	729	&	0.00073554 	&	(12)
2458977.26264 	&	0.00010 	&	729.5	&	-0.00090705 	&	(12)
2458977.42784 	&	0.00009 	&	730	&	0.00089035 	&	(12)
2458977.58941 	&	0.00011 	&	730.5	&	-0.00094224 	&	(12)
2458977.75463 	&	0.00010 	&	731	&	0.00087516 	&	(12)
2458977.91640 	&	0.00010 	&	731.5	&	-0.00075744 	&	(12)
2458978.08130 	&	0.00010 	&	732	&	0.00073997 	&	(12)
2458978.24326 	&	0.00013 	&	732.5	&	-0.00070263 	&	(12)
2458978.40834 	&	0.00010 	&	733	&	0.00097478 	&	(12)
2458978.57008 	&	0.00011 	&	733.5	&	-0.00068782 	&	(12)
2458978.73485 	&	0.00008 	&	734	&	0.00067959 	&	(12)
2458978.89681 	&	0.00014 	&	734.5	&	-0.00076301 	&	(12)
2458979.06165 	&	0.00013 	&	735	&	0.00067439 	&	(12)
2458979.22374 	&	0.00014 	&	735.5	&	-0.00063820 	&	(12)
2458979.38843 	&	0.00014 	&	736	&	0.00064920 	&	(12)
2458979.55042 	&	0.00012 	&	736.5	&	-0.00076339 	&	(12)
2458979.71551 	&	0.00012 	&	737	&	0.00092401 	&	(12)
2458979.87715 	&	0.00014 	&	737.5	&	-0.00083858 	&	(12)
2458980.04243 	&	0.00012 	&	738	&	0.00103882 	&	(12)
2458980.20377 	&	0.00012 	&	738.5	&	-0.00102378 	&	(12)
2458980.36913 	&	0.00009 	&	739	&	0.00093363 	&	(12)
2458980.53073 	&	0.00011 	&	739.5	&	-0.00086897 	&	(12)
2458980.69577 	&	0.00011 	&	740	&	0.00076844 	&	(12)
2458980.85740 	&	0.00013 	&	740.5	&	-0.00100416 	&	(12)
2458981.02268 	&	0.00012 	&	741	&	0.00087325 	&	(12)
2458981.18430 	&	0.00013 	&	741.5	&	-0.00090935 	&	(12)
2458981.34963 	&	0.00013 	&	742	&	0.00101806 	&	(12)
2458981.51092 	&	0.00015 	&	742.5	&	-0.00109454 	&	(12)
2458981.67622 	&	0.00013 	&	743	&	0.00080286 	&	(12)
2458981.83781 	&	0.00012 	&	743.5	&	-0.00100973 	&	(12)
2458982.00274 	&	0.00012 	&	744	&	0.00051767 	&	(12)
2458982.16462 	&	0.00018 	&	744.5	&	-0.00100492 	&	(12)
2459062.39063 	&	0.00048 	&	990	&	-0.00566599 	&	(14)
2459086.41553 	&	0.00032 	&	1063.5	&	-0.00094795 	&	(14)
2459086.41586 	&	0.00064 	&	1063.5	&	-0.00062375 	&	(14)
2459097.36273 	&	0.00031 	&	1097	&	-0.00172786 	&	(14)
2459105.36952 	&	0.00028 	&	1121.5	&	-0.00166604 	&	(14)
2459331.35936 	&	0.00014 	&	1813	&	0.00239017 	&	(13)
2459331.51926 	&	0.00014 	&	1813.5	&	-0.00111542 	&	(13)
2459335.93356 	&	0.00504 	&	1827	&	0.00131349 	&	(11)
2459637.57538 	&	0.00018 	&	2750	&	0.00194392 	&	(12)
2459637.73530 	&	0.00019 	&	2750.5	&	-0.00153867 	&	(12)
2459637.90279 	&	0.00023 	&	2751	&	0.00254873 	&	(12)
2459638.06227 	&	0.00018 	&	2751.5	&	-0.00137386 	&	(12)
2459638.22910 	&	0.00015 	&	2752	&	0.00205354 	&	(12)
2459638.38907 	&	0.00014 	&	2752.5	&	-0.00137905 	&	(12)
2459638.55536 	&	0.00018 	&	2753	&	0.00150835 	&	(12)
2459638.71583 	&	0.00017 	&	2753.5	&	-0.00142424 	&	(12)
2459638.88288 	&	0.00015 	&	2754	&	0.00222316 	&	(12)
2459639.04260 	&	0.00014 	&	2754.5	&	-0.00145944 	&	(12)
2459639.20918 	&	0.00013 	&	2755	&	0.00171797 	&	(12)
2459639.36967 	&	0.00012 	&	2755.5	&	-0.00119463 	&	(12)
2459639.53620 	&	0.00011 	&	2756	&	0.00193278 	&	(12)
2459639.69662 	&	0.00012 	&	2756.5	&	-0.00104982 	&	(12)
2459639.86304 	&	0.00015 	&	2757	&	0.00196759 	&	(12)
2459640.02289 	&	0.00010 	&	2757.5	&	-0.00158501 	&	(12)
2459640.18970 	&	0.00009 	&	2758	&	0.00182239 	&	(12)
2459640.34976 	&	0.00011 	&	2758.5	&	-0.00152020 	&	(12)
2459640.51657 	&	0.00010 	&	2759	&	0.00188720 	&	(12)
2459640.67680 	&	0.00013 	&	2759.5	&	-0.00128539 	&	(12)
2459640.84340 	&	0.00013 	&	2760	&	0.00191201 	&	(12)
2459641.00337 	&	0.00012 	&	2760.5	&	-0.00152058 	&	(12)
2459641.17015 	&	0.00013 	&	2761	&	0.00185682 	&	(12)
2459641.33037 	&	0.00011 	&	2761.5	&	-0.00132577 	&	(12)
2459641.49685 	&	0.00010 	&	2762	&	0.00175163 	&	(12)
2459641.65723 	&	0.00013 	&	2762.5	&	-0.00127097 	&	(12)
2459641.82350 	&	0.00012 	&	2763	&	0.00159644 	&	(12)
2459641.98395 	&	0.00011 	&	2763.5	&	-0.00135616 	&	(12)
2459642.15042 	&	0.00012 	&	2764	&	0.00171125 	&	(12)
2459642.31064 	&	0.00010 	&	2764.5	&	-0.00147135 	&	(12)
2459642.47730 	&	0.00009 	&	2765	&	0.00178606 	&	(12)
2459642.63761 	&	0.00012 	&	2765.5	&	-0.00130654 	&	(12)
2459642.80379 	&	0.00011 	&	2766	&	0.00147086 	&	(12)
2459642.96456 	&	0.00011 	&	2766.5	&	-0.00116173 	&	(12)
2459643.13102 	&	0.00011 	&	2767	&	0.00189567 	&	(12)
2459643.29126 	&	0.00011 	&	2767.5	&	-0.00126692 	&	(12)
2459643.45762 	&	0.00013 	&	2768	&	0.00169048 	&	(12)
2459643.61807 	&	0.00010 	&	2768.5	&	-0.00126211 	&	(12)
2459643.78446 	&	0.00016 	&	2769	&	0.00172529 	&	(12)
2459643.94475 	&	0.00012 	&	2769.5	&	-0.00138731 	&	(12)
2459644.11100 	&	0.00012 	&	2770	&	0.00146010 	&	(12)
2459644.27176 	&	0.00009 	&	2770.5	&	-0.00118250 	&	(12)
2459644.43790 	&	0.00010 	&	2771	&	0.00155491 	&	(12)
2459644.59828 	&	0.00011 	&	2771.5	&	-0.00146769 	&	(12)
2459644.76457 	&	0.00013 	&	2772	&	0.00141972 	&	(12)
2459644.92526 	&	0.00008 	&	2772.5	&	-0.00129288 	&	(12)
2459645.09145 	&	0.00010 	&	2773	&	0.00149453 	&	(12)
2459645.25207 	&	0.00009 	&	2773.5	&	-0.00128807 	&	(12)
2459645.41834 	&	0.00008 	&	2774	&	0.00157933 	&	(12)
2459645.57903 	&	0.00012 	&	2774.5	&	-0.00113326 	&	(12)
2459645.74510 	&	0.00011 	&	2775	&	0.00153414 	&	(12)
2459645.90577 	&	0.00011 	&	2775.5	&	-0.00119845 	&	(12)
2459646.07178 	&	0.00010 	&	2776	&	0.00140895 	&	(12)
2459646.23260 	&	0.00011 	&	2776.5	&	-0.00117364 	&	(12)
2459646.39896 	&	0.00009 	&	2777	&	0.00178376 	&	(12)
2459646.55953 	&	0.00010 	&	2777.5	&	-0.00104884 	&	(12)
2459646.72557 	&	0.00011 	&	2778	&	0.00158857 	&	(12)
2459646.88610 	&	0.00009 	&	2778.5	&	-0.00128403 	&	(12)
2459647.05229 	&	0.00011 	&	2779	&	0.00150338 	&	(12)
2459647.21319 	&	0.00010 	&	2779.5	&	-0.00099922 	&	(12)
2459647.37898 	&	0.00011 	&	2780	&	0.00138819 	&	(12)
2459647.53997 	&	0.00009 	&	2780.5	&	-0.00102441 	&	(12)
2459647.70558 	&	0.00012 	&	2781	&	0.00118299 	&	(12)
2459647.86669 	&	0.00011 	&	2781.5	&	-0.00110960 	&	(12)
2459648.03250 	&	0.00007 	&	2782	&	0.00129780 	&	(12)
2459648.19344 	&	0.00009 	&	2782.5	&	-0.00116479 	&	(12)
2459648.35949 	&	0.00009 	&	2783	&	0.00148261 	&	(12)
2459648.52033 	&	0.00012 	&	2783.5	&	-0.00107998 	&	(12)
2459648.68607 	&	0.00010 	&	2784	&	0.00125742 	&	(12)
2459648.84717 	&	0.00011 	&	2784.5	&	-0.00104517 	&	(12)
2459649.01307 	&	0.00012 	&	2785	&	0.00145223 	&	(12)
2459649.17384 	&	0.00008 	&	2785.5	&	-0.00118037 	&	(12)
2459649.33986 	&	0.00011 	&	2786	&	0.00143704 	&	(12)
2459649.50071 	&	0.00011 	&	2786.5	&	-0.00111556 	&	(12)
2459649.66661 	&	0.00014 	&	2787	&	0.00138185 	&	(12)
2459649.82735 	&	0.00013 	&	2787.5	&	-0.00128075 	&	(12)
2459649.99340 	&	0.00011 	&	2788	&	0.00136666 	&	(12)
2459650.15428 	&	0.00009 	&	2788.5	&	-0.00115594 	&	(12)
2459650.32000 	&	0.00012 	&	2789	&	0.00116146 	&	(12)
2459651.46134 	&	0.00013 	&	2792.5	&	-0.00131671 	&	(12)
2459651.62728 	&	0.00015 	&	2793	&	0.00122070 	&	(12)
2459651.78862 	&	0.00014 	&	2793.5	&	-0.00084190 	&	(12)
2459651.95397 	&	0.00016 	&	2794	&	0.00110551 	&	(12)
2459652.11524 	&	0.00015 	&	2794.5	&	-0.00102709 	&	(12)
2459652.28074 	&	0.00015 	&	2795	&	0.00107032 	&	(12)
2459652.44213 	&	0.00014 	&	2795.5	&	-0.00094228 	&	(12)
2459652.60736 	&	0.00015 	&	2796	&	0.00088512 	&	(12)
2459652.76873 	&	0.00015 	&	2796.5	&	-0.00114747 	&	(12)
2459652.93415 	&	0.00016 	&	2797	&	0.00086993 	&	(12)
2459653.09596 	&	0.00014 	&	2797.5	&	-0.00072266 	&	(12)
2459653.26122 	&	0.00011 	&	2798	&	0.00113474 	&	(12)
2459653.42255 	&	0.00013 	&	2798.5	&	-0.00093785 	&	(12)
2459653.58783 	&	0.00016 	&	2799	&	0.00093955 	&	(12)
2459653.74931 	&	0.00013 	&	2799.5	&	-0.00098304 	&	(12)
2459653.91475 	&	0.00016 	&	2800	&	0.00105436 	&	(12)
2459654.07608 	&	0.00012 	&	2800.5	&	-0.00101824 	&	(12)
2459654.24165 	&	0.00012 	&	2801	&	0.00114917 	&	(12)
2459654.40317 	&	0.00012 	&	2801.5	&	-0.00073343 	&	(12)
2459654.56822 	&	0.00013 	&	2802	&	0.00091398 	&	(12)
2459654.72987 	&	0.00013 	&	2802.5	&	-0.00083862 	&	(12)
2459654.89515 	&	0.00013 	&	2803	&	0.00103879 	&	(12)
2459655.05682 	&	0.00011 	&	2803.5	&	-0.00069381 	&	(12)
2459655.22214 	&	0.00010 	&	2804	&	0.00122360 	&	(12)
2459655.38351 	&	0.00012 	&	2804.5	&	-0.00080900 	&	(12)
2459655.54858 	&	0.00010 	&	2805	&	0.00085840 	&	(12)
2459655.71033 	&	0.00009 	&	2805.5	&	-0.00079419 	&	(12)
2459655.87534 	&	0.00011 	&	2806	&	0.00081321 	&	(12)
2459656.03734 	&	0.00012 	&	2806.5	&	-0.00058938 	&	(12)
2459656.20211 	&	0.00016 	&	2807	&	0.00077802 	&	(12)
2459656.36414 	&	0.00012 	&	2807.5	&	-0.00059457 	&	(12)
2459656.52886 	&	0.00008 	&	2808	&	0.00072283 	&	(12)
2459656.69076 	&	0.00010 	&	2808.5	&	-0.00077977 	&	(12)
2459656.85568 	&	0.00011 	&	2809	&	0.00073764 	&	(12)
2459657.01749 	&	0.00010 	&	2809.5	&	-0.00085496 	&	(12)
2459657.18236 	&	0.00013 	&	2810	&	0.00061245 	&	(12)
2459657.34428 	&	0.00010 	&	2810.5	&	-0.00087015 	&	(12)
2459657.50910 	&	0.00011 	&	2811	&	0.00054726 	&	(12)
2459657.67119 	&	0.00010 	&	2811.5	&	-0.00076534 	&	(12)
2459657.83570 	&	0.00010 	&	2812	&	0.00034206 	&	(12)
2459657.99800 	&	0.00009 	&	2812.5	&	-0.00076053 	&	(12)
2459658.16270 	&	0.00007 	&	2813	&	0.00053687 	&	(12)
2459658.32478 	&	0.00010 	&	2813.5	&	-0.00078572 	&	(12)
2459658.48943 	&	0.00009 	&	2814	&	0.00046168 	&	(12)
2459658.65153 	&	0.00009 	&	2814.5	&	-0.00084091 	&	(12)
2459658.81632 	&	0.00009 	&	2815	&	0.00054649 	&	(12)
2459658.97825 	&	0.00010 	&	2815.5	&	-0.00092610 	&	(12)
2459659.14312 	&	0.00011 	&	2816	&	0.00054130 	&	(12)
2459659.30525 	&	0.00009 	&	2816.5	&	-0.00073130 	&	(12)
2459659.46989 	&	0.00012 	&	2817	&	0.00050611 	&	(12)
2459659.63205 	&	0.00010 	&	2817.5	&	-0.00073649 	&	(12)
2459659.79675 	&	0.00010 	&	2818	&	0.00056092 	&	(12)
2459659.95874 	&	0.00010 	&	2818.5	&	-0.00085168 	&	(12)
2459660.12347 	&	0.00010 	&	2819	&	0.00047573 	&	(12)
2459660.28544 	&	0.00011 	&	2819.5	&	-0.00095687 	&	(12)
2459660.45026 	&	0.00008 	&	2820	&	0.00046053 	&	(12)
2459660.61232 	&	0.00011 	&	2820.5	&	-0.00088206 	&	(12)
2459660.77695 	&	0.00011 	&	2821	&	0.00034534 	&	(12)
2459660.93903 	&	0.00010 	&	2821.5	&	-0.00097725 	&	(12)
2459661.10386 	&	0.00007 	&	2822	&	0.00045015 	&	(12)
2459661.26620 	&	0.00010 	&	2822.5	&	-0.00061244 	&	(12)
2459661.43075 	&	0.00010 	&	2823	&	0.00053496 	&	(12)
2459661.59289 	&	0.00010 	&	2823.5	&	-0.00072764 	&	(12)
2459661.75736 	&	0.00010 	&	2824	&	0.00033977 	&	(12)
2459661.91960 	&	0.00017 	&	2824.5	&	-0.00082283 	&	(12)
2459662.08415 	&	0.00011 	&	2825	&	0.00032458 	&	(12)
2459662.24658 	&	0.00009 	&	2825.5	&	-0.00064802 	&	(12)
2459662.41080 	&	0.00013 	&	2826	&	0.00016939 	&	(12)
2459662.57321 	&	0.00012 	&	2826.5	&	-0.00082321 	&	(12)
2459662.73769 	&	0.00008 	&	2827	&	0.00025419 	&	(12)
2459662.90019 	&	0.00011 	&	2827.5	&	-0.00064840 	&	(12)
2459663.06447 	&	0.00010 	&	2828	&	0.00022900 	&	(12)
2459663.22721 	&	0.00012 	&	2828.5	&	-0.00043359 	&	(12)
2459663.39138 	&	0.00010 	&	2829	&	0.00033381 	&	(12)
2459663.55370 	&	0.00011 	&	2829.5	&	-0.00074878 	&	(12)
2459663.71809 	&	0.00010 	&	2830	&	0.00023862 	&	(12)
2459663.88080 	&	0.00012 	&	2830.5	&	-0.00045397 	&	(12)
2459664.04478 	&	0.00011 	&	2831	&	0.00012343 	&	(12)
2459664.20749 	&	0.00012 	&	2831.5	&	-0.00056917 	&	(12)
2459665.35172 	&	0.00010 	&	2835	&	-0.00015734 	&	(12)
2459665.51504 	&	0.00010 	&	2835.5	&	-0.00023993 	&	(12)
2459665.67868 	&	0.00010 	&	2836	&	-0.00000253 	&	(12)
2459665.84176 	&	0.00011 	&	2836.5	&	-0.00032512 	&	(12)
2459666.00525 	&	0.00011 	&	2837	&	-0.00023772 	&	(12)
2459666.16866 	&	0.00013 	&	2837.5	&	-0.00023031 	&	(12)
2459666.33221 	&	0.00013 	&	2838	&	-0.00008291 	&	(12)
2459666.49528 	&	0.00014 	&	2838.5	&	-0.00041551 	&	(12)
2459666.65906 	&	0.00013 	&	2839	&	-0.00003810 	&	(12)
2459666.82226 	&	0.00015 	&	2839.5	&	-0.00024070 	&	(12)
2459666.98561 	&	0.00013 	&	2840	&	-0.00029329 	&	(12)
2459667.14916 	&	0.00014 	&	2840.5	&	-0.00014589 	&	(12)
2459667.31253 	&	0.00012 	&	2841	&	-0.00017848 	&	(12)
2459667.47591 	&	0.00014 	&	2841.5	&	-0.00020108 	&	(12)
2459667.63938 	&	0.00015 	&	2842	&	-0.00013367 	&	(12)
2459667.80275 	&	0.00011 	&	2842.5	&	-0.00016627 	&	(12)
2459667.96612 	&	0.00013 	&	2843	&	-0.00019887 	&	(12)
2459668.12947 	&	0.00013 	&	2843.5	&	-0.00025146 	&	(12)
2459668.29278 	&	0.00014 	&	2844	&	-0.00034406 	&	(12)
2459668.45642 	&	0.00012 	&	2844.5	&	-0.00010665 	&	(12)
2459668.61981 	&	0.00013 	&	2845	&	-0.00011925 	&	(12)
2459668.78310 	&	0.00010 	&	2845.5	&	-0.00023184 	&	(12)
2459668.94657 	&	0.00013 	&	2846	&	-0.00016444 	&	(12)
2459669.11006 	&	0.00012 	&	2846.5	&	-0.00007704 	&	(12)
2459669.27344 	&	0.00012 	&	2847	&	-0.00009963 	&	(12)
2459669.43706 	&	0.00011 	&	2847.5	&	0.00011777 	&	(12)
2459669.60018 	&	0.00011 	&	2848	&	-0.00016482 	&	(12)
2459669.76378 	&	0.00012 	&	2848.5	&	0.00003258 	&	(12)
2459669.92687 	&	0.00011 	&	2849	&	-0.00028001 	&	(12)
2459670.09072 	&	0.00012 	&	2849.5	&	0.00016739 	&	(12)
2459670.25360 	&	0.00011 	&	2850	&	-0.00035521 	&	(12)
2459670.41733 	&	0.00010 	&	2850.5	&	-0.00002780 	&	(12)
2459670.58029 	&	0.00010 	&	2851	&	-0.00047040 	&	(12)
2459670.74439 	&	0.00012 	&	2851.5	&	0.00022701 	&	(12)
2459670.90693 	&	0.00013 	&	2852	&	-0.00063559 	&	(12)
2459671.07137 	&	0.00010 	&	2852.5	&	0.00040182 	&	(12)
2459671.23396 	&	0.00013 	&	2853	&	-0.00041078 	&	(12)
2459671.39807 	&	0.00010 	&	2853.5	&	0.00029663 	&	(12)
2459671.56076 	&	0.00011 	&	2854	&	-0.00041597 	&	(12)
2459671.72519 	&	0.00011 	&	2854.5	&	0.00061143 	&	(12)
2459671.88764 	&	0.00011 	&	2855	&	-0.00034116 	&	(12)
2459672.05191 	&	0.00012 	&	2855.5	&	0.00052624 	&	(12)
2459672.21405 	&	0.00010 	&	2856	&	-0.00073635 	&	(12)
2459672.54110 	&	0.00011 	&	2857	&	-0.00049154 	&	(12)
2459672.70548 	&	0.00010 	&	2857.5	&	0.00048586 	&	(12)
2459672.86787 	&	0.00012 	&	2858	&	-0.00052674 	&	(12)
2459673.03250 	&	0.00009 	&	2858.5	&	0.00070067 	&	(12)
2459673.19470 	&	0.00010 	&	2859	&	-0.00050193 	&	(12)
2459673.35917 	&	0.00011 	&	2859.5	&	0.00056548 	&	(12)
2459673.52140 	&	0.00011 	&	2860	&	-0.00060712 	&	(12)
2459673.68601 	&	0.00010 	&	2860.5	&	0.00060029 	&	(12)
2459673.84808 	&	0.00011 	&	2861	&	-0.00073231 	&	(12)
2459674.01292 	&	0.00009 	&	2861.5	&	0.00070510 	&	(12)
2459674.17501 	&	0.00010 	&	2862	&	-0.00060750 	&	(12)
2459674.33951 	&	0.00010 	&	2862.5	&	0.00048990 	&	(12)
2459674.50161 	&	0.00010 	&	2863	&	-0.00081269 	&	(12)
2459674.66654 	&	0.00011 	&	2863.5	&	0.00071471 	&	(12)
2459674.82866 	&	0.00009 	&	2864	&	-0.00056788 	&	(12)
2459674.99324 	&	0.00009 	&	2864.5	&	0.00060952 	&	(12)
2459675.15535 	&	0.00010 	&	2865	&	-0.00068307 	&	(12)
2459675.31986 	&	0.00009 	&	2865.5	&	0.00042433 	&	(12)
2459675.48220 	&	0.00010 	&	2866	&	-0.00063827 	&	(12)
2459675.64664 	&	0.00009 	&	2866.5	&	0.00039914 	&	(12)
2459675.80893 	&	0.00011 	&	2867	&	-0.00071346 	&	(12)
2459675.97345 	&	0.00010 	&	2867.5	&	0.00040395 	&	(12)
2459676.13583 	&	0.00010 	&	2868	&	-0.00061865 	&	(12)
2459676.30027 	&	0.00009 	&	2868.5	&	0.00041876 	&	(12)
2459676.46245 	&	0.00009 	&	2869	&	-0.00080384 	&	(12)
2459676.62724 	&	0.00009 	&	2869.5	&	0.00058356 	&	(12)
2459676.78929 	&	0.00009 	&	2870	&	-0.00076903 	&	(12)
2459676.95399 	&	0.00010 	&	2870.5	&	0.00052837 	&	(12)
2459677.11610 	&	0.00011 	&	2871	&	-0.00076422 	&	(12)
2459677.28089 	&	0.00010 	&	2871.5	&	0.00062318 	&	(12)
2459677.44294 	&	0.00012 	&	2872	&	-0.00072941 	&	(12)
2459677.60764 	&	0.00010 	&	2872.5	&	0.00056799 	&	(12)
2459677.76955 	&	0.00008 	&	2873	&	-0.00092461 	&	(12)
2459677.93442 	&	0.00011 	&	2873.5	&	0.00054280 	&	(12)
2459678.09641 	&	0.00008 	&	2874	&	-0.00086980 	&	(12)
2459678.26140 	&	0.00011 	&	2874.5	&	0.00071761 	&	(12)
2459679.40375 	&	0.00014 	&	2878	&	-0.00075056 	&	(12)
2459679.56879 	&	0.00010 	&	2878.5	&	0.00088684 	&	(12)
2459679.73039 	&	0.00013 	&	2879	&	-0.00091575 	&	(12)
2459679.89535 	&	0.00013 	&	2879.5	&	0.00064165 	&	(12)
2459680.05716 	&	0.00013 	&	2880	&	-0.00095094 	&	(12)
2459680.22217 	&	0.00015 	&	2880.5	&	0.00065646 	&	(12)
2459680.38375 	&	0.00013 	&	2881	&	-0.00116614 	&	(12)
2459680.54919 	&	0.00015 	&	2881.5	&	0.00087127 	&	(12)
2459680.71098 	&	0.00012 	&	2882	&	-0.00074133 	&	(12)
2459680.87587 	&	0.00012 	&	2882.5	&	0.00074608 	&	(12)
2459681.03731 	&	0.00013 	&	2883	&	-0.00121652 	&	(12)
2459681.20295 	&	0.00015 	&	2883.5	&	0.00102089 	&	(12)
2459681.36470 	&	0.00014 	&	2884	&	-0.00063171 	&	(12)
2459681.52958 	&	0.00013 	&	2884.5	&	0.00084570 	&	(12)
2459681.69108 	&	0.00016 	&	2885	&	-0.00105690 	&	(12)
2459681.85631 	&	0.00011 	&	2885.5	&	0.00077050 	&	(12)
2459682.01771 	&	0.00012 	&	2886	&	-0.00123209 	&	(12)
2459682.18298 	&	0.00013 	&	2886.5	&	0.00063531 	&	(12)
2459682.34460 	&	0.00014 	&	2887	&	-0.00114728 	&	(12)
2459682.50990 	&	0.00012 	&	2887.5	&	0.00075012 	&	(12)
2459682.67156 	&	0.00012 	&	2888	&	-0.00099247 	&	(12)
2459682.83687 	&	0.00013 	&	2888.5	&	0.00091493 	&	(12)
2459682.99823 	&	0.00014 	&	2889	&	-0.00112767 	&	(12)
2459683.16370 	&	0.00011 	&	2889.5	&	0.00093974 	&	(12)
